P1,P2,P3,Total Power,Power Demand,C1,C2,C3,Total Cost,No. Of Iterations
10,10,10,30,30,270.8,243.9,208.7,723.4,45
10,10.035,10,30.035,30.035,270.8,244.13,208.7,723.626,45
10,10.073,10,30.0725,30.0725,270.8,244.37,208.7,723.869,45
10,10.109,10,30.109,30.109,270.8,244.61,208.7,724.106,45
10,10.146,10,30.146,30.146,270.8,244.85,208.7,724.346,45
84.866,80,70,234.866,234.866,851.68,741.6,650.3,2243.579,39
84.91,80,70,234.91,234.91,852.05,741.6,650.3,2243.94,39
84.935,80,70,234.935,234.935,852.26,741.6,650.3,2244.156,39
84.969,80,70,234.969,234.969,852.54,741.6,650.3,2244.44,39
85,70,70,235,235,852.8,741.6,650.3,2244.699,39
